iter	MultiClass
0	2.564576557
1	1.812786402
2	1.117429578
3	0.442579293
4	0.2828782351
5	0.2210623378
6	0.1889629727
7	0.1665161695
8	0.1346815164
9	0.1177647299
10	0.1071292996
11	0.08357103349
12	0.07841956676
13	0.06499293702
14	0.05656026874
15	0.05377960759
16	0.04827283828
17	0.03933887067
18	0.03181646832
19	0.02925322227
20	0.02597500172
21	0.02418479585
22	0.01996837631
23	0.01841732325
24	0.01543904465
25	0.01462936549
26	0.01373988532
27	0.01314038939
28	0.01121423923
29	0.009875843503
30	0.008530574408
31	0.007696172343
32	0.006623071081
33	0.006103315187
34	0.005564962419
35	0.004992397943
36	0.004711425989
37	0.004291657732
38	0.004067224752
39	0.003840933237
40	0.003460325558
41	0.003270388567
42	0.002800429614
43	0.002569024584
44	0.002409964581
45	0.002165651024
46	0.002065826013
47	0.001951592391
48	0.001718458259
49	0.001575461334
50	0.001464726352
51	0.001341319397
52	0.00127827479
53	0.001130136162
54	0.001066912808
55	0.001009558612
56	0.0009585137624
57	0.0008120764425
58	0.0007097737499
59	0.0006108289196
60	0.0005398564469
61	0.0004701823328
62	0.000424726023
63	0.000382972029
64	0.0003386604055
65	0.0003087486847
66	0.0002785869909
67	0.0002588172615
68	0.0002344008094
69	0.0002226941073
70	0.0002057113287
71	0.0001924826159
72	0.0001706728279
73	0.0001610757241
74	0.0001492932427
75	0.0001373124386
76	0.0001240465472
77	0.0001179328468
78	0.0001111361792
79	0.0001024047709
80	9.282567381e-05
81	8.433832282e-05
82	7.89345806e-05
83	7.17478645e-05
84	6.739530491e-05
85	6.237904336e-05
86	5.88497446e-05
87	5.487458507e-05
88	5.221646385e-05
89	4.782465047e-05
90	4.506433533e-05
91	4.017241609e-05
92	3.758668995e-05
93	3.548005899e-05
94	3.370588586e-05
95	3.241849876e-05
96	2.895386819e-05
97	2.720060896e-05
98	2.458001515e-05
99	2.345426745e-05
100	2.142892799e-05
101	2.019730268e-05
102	1.850138752e-05
103	1.769203762e-05
104	1.615193299e-05
105	1.535507176e-05
106	1.383589821e-05
107	1.309577524e-05
108	1.2070653e-05
109	1.135644636e-05
110	1.080599683e-05
111	1.001191208e-05
112	9.434134196e-06
113	9.065958431e-06
114	8.631517668e-06
115	8.119948346e-06
116	7.24265166e-06
117	6.675270206e-06
118	6.18039374e-06
119	5.800279184e-06
120	5.536588839e-06
121	5.064711565e-06
122	4.630887444e-06
123	4.40829185e-06
124	4.167413213e-06
125	3.825309422e-06
126	3.44114811e-06
127	3.316371906e-06
128	3.052929142e-06
129	2.902073719e-06
130	2.759183897e-06
131	2.435767589e-06
132	2.253862797e-06
133	2.042007439e-06
134	1.937159475e-06
135	1.815836665e-06
136	1.721447453e-06
137	1.625353127e-06
138	1.536378179e-06
139	1.370548156e-06
140	1.312585057e-06
141	1.203954277e-06
142	1.149561781e-06
143	1.101655503e-06
144	1.011755148e-06
145	9.403687991e-07
146	8.473842956e-07
147	8.054983337e-07
148	7.561529735e-07
149	6.898084655e-07
150	6.60528854e-07
151	6.076427426e-07
152	5.753994351e-07
153	5.371671294e-07
154	4.972663246e-07
155	4.700503073e-07
156	4.39222608e-07
157	4.068605645e-07
158	3.777450425e-07
159	3.526535864e-07
160	3.22718144e-07
161	3.054265328e-07
162	2.909981619e-07
163	2.749307309e-07
164	2.625752576e-07
165	2.414055819e-07
166	2.273796838e-07
167	2.189776233e-07
168	2.034217532e-07
169	1.956390456e-07
170	1.812344414e-07
171	1.678992308e-07
172	1.572484282e-07
173	1.495466078e-07
174	1.380226558e-07
175	1.313240561e-07
176	1.230697837e-07
177	1.119879777e-07
178	1.060356735e-07
179	9.789141634e-08
180	9.109760784e-08
181	8.694262357e-08
182	8.131270857e-08
183	7.695942596e-08
184	7.196622718e-08
185	6.769209465e-08
186	6.453409883e-08
187	6.024677851e-08
188	5.643039583e-08
189	5.175058603e-08
190	4.923524079e-08
191	4.681866973e-08
192	4.416303693e-08
193	4.128007203e-08
194	3.9105061e-08
195	3.645184797e-08
196	3.386743896e-08
197	3.252791629e-08
198	3.086789363e-08
199	2.89392288e-08
200	2.787619638e-08
201	2.590692208e-08
202	2.470027304e-08
203	2.319035081e-08
204	2.212226225e-08
205	2.075788509e-08
206	1.905462101e-08
207	1.818349066e-08
208	1.700316959e-08
209	1.608391737e-08
210	1.506183922e-08
211	1.405513218e-08
212	1.325604994e-08
213	1.256047122e-08
214	1.198028236e-08
215	1.113029426e-08
216	1.058370328e-08
217	1.020857272e-08
218	9.537647579e-09
219	9.149045332e-09
220	8.625358071e-09
221	7.920703187e-09
222	7.634256369e-09
223	7.155685512e-09
224	6.657254581e-09
225	6.41188109e-09
226	6.093114404e-09
227	5.669149224e-09
228	5.447775668e-09
229	5.165791643e-09
230	4.965988832e-09
231	4.717668618e-09
232	4.285801056e-09
233	4.035838058e-09
234	3.858904773e-09
235	3.654662172e-09
236	3.4492385e-09
237	3.322238652e-09
238	3.104376618e-09
239	2.85081394e-09
240	2.694083846e-09
241	2.518687507e-09
242	2.403832751e-09
243	2.323483925e-09
244	2.22935614e-09
245	2.147137742e-09
246	1.98645731e-09
247	1.925000883e-09
248	1.79706721e-09
249	1.665520863e-09
250	1.586202103e-09
251	1.496256742e-09
252	1.445445546e-09
253	1.371702688e-09
254	1.294704687e-09
255	1.23054689e-09
256	1.177187927e-09
257	1.142321941e-09
258	1.095673983e-09
259	1.045164523e-09
260	9.977395397e-10
261	9.460491808e-10
262	9.071425075e-10
263	8.491894682e-10
264	8.224529976e-10
265	7.762661663e-10
266	7.463047513e-10
267	7.159701888e-10
268	6.862670265e-10
269	6.58661322e-10
270	6.313109054e-10
271	6.050209846e-10
272	5.823734161e-10
273	5.66818721e-10
274	5.561622069e-10
275	5.311186611e-10
276	5.122814636e-10
277	4.918785713e-10
278	4.77589864e-10
279	4.542178628e-10
280	4.399646515e-10
281	4.230524008e-10
282	4.066111032e-10
283	3.931669228e-10
284	3.856383662e-10
285	3.71054843e-10
286	3.628328681e-10
287	3.533004158e-10
288	3.413252078e-10
289	3.298099272e-10
290	3.209258037e-10
291	3.087503867e-10
292	3.003473301e-10
293	2.93417777e-10
294	2.879313351e-10
295	2.815874853e-10
296	2.753276181e-10
297	2.663910843e-10
298	2.606517373e-10
299	2.524039882e-10
300	2.472371395e-10
301	2.417963212e-10
302	2.365272407e-10
303	2.301163561e-10
304	2.260235959e-10
305	2.220652403e-10
306	2.182503791e-10
307	2.1432437e-10
308	2.070461595e-10
309	2.025877402e-10
310	1.96897522e-10
311	1.920934946e-10
312	1.872208655e-10
313	1.833978044e-10
314	1.800049791e-10
315	1.767031856e-10
316	1.750838479e-10
317	1.728480975e-10
318	1.690769697e-10
319	1.669690331e-10
320	1.64461277e-10
321	1.611388269e-10
322	1.587695944e-10
323	1.550241566e-10
324	1.513331259e-10
325	1.48739213e-10
326	1.455415687e-10
327	1.427715988e-10
328	1.403330795e-10
329	1.382538005e-10
330	1.356430184e-10
331	1.341788953e-10
332	1.322006991e-10
333	1.301403096e-10
334	1.28026491e-10
335	1.260226727e-10
336	1.247083463e-10
337	1.226937982e-10
338	1.21099317e-10
339	1.191067066e-10
340	1.174506703e-10
341	1.155010547e-10
342	1.139791767e-10
343	1.120943465e-10
344	1.108506151e-10
345	1.094304108e-10
346	1.08103939e-10
347	1.065147125e-10
348	1.054049671e-10
349	1.033092037e-10
350	1.026345239e-10
351	1.013740067e-10
352	1.003811026e-10
353	9.964530417e-11
354	9.784369707e-11
355	9.701937732e-11
356	9.578824072e-11
357	9.513171413e-11
358	9.388802063e-11
359	9.173406124e-11
360	9.097649596e-11
361	8.967700482e-11
362	8.907084309e-11
363	8.824685018e-11
364	8.741364676e-11
365	8.644691735e-11
366	8.499825286e-11
367	8.430827145e-11
368	8.387393758e-11
369	8.291372735e-11
370	8.187281041e-11
371	8.110855995e-11
372	8.036511183e-11
373	7.978081608e-11
374	7.911539064e-11
375	7.808900218e-11
376	7.7148936e-11
377	7.644009163e-11
378	7.595141885e-11
379	7.527101325e-11
380	7.454806066e-11
381	7.337749837e-11
382	7.266237826e-11
383	7.189194712e-11
384	7.145382739e-11
385	7.096739455e-11
386	7.047641493e-11
387	6.998193053e-11
388	6.935920211e-11
389	6.886628393e-11
390	6.793314338e-11
391	6.693982061e-11
392	6.644102367e-11
393	6.591885193e-11
394	6.546555329e-11
395	6.486836378e-11
396	6.446884217e-11
397	6.382350663e-11
398	6.329394243e-11
399	6.277935704e-11
400	6.24588982e-11
401	6.198584111e-11
402	6.137887758e-11
403	6.092698892e-11
404	6.066125351e-11
405	6.043114869e-11
406	5.993909893e-11
407	5.943219845e-11
408	5.899135353e-11
409	5.849311549e-11
410	5.812981017e-11
411	5.767314132e-11
412	5.711406848e-11
413	5.649946201e-11
414	5.61204075e-11
415	5.570940212e-11
416	5.531145216e-11
417	5.50615656e-11
418	5.458662735e-11
419	5.427484098e-11
420	5.379875839e-11
421	5.337455869e-11
422	5.304057301e-11
423	5.286152572e-11
424	5.251691872e-11
425	5.225574363e-11
426	5.182229441e-11
427	5.158687135e-11
428	5.143073527e-11
429	5.113391985e-11
430	5.089528608e-11
431	5.071987707e-11
432	5.046565252e-11
433	5.030125177e-11
434	4.990536791e-11
435	4.94620656e-11
436	4.927056025e-11
437	4.906927384e-11
438	4.875745146e-11
439	4.85992528e-11
440	4.819759794e-11
441	4.776189985e-11
442	4.746074617e-11
443	4.706910281e-11
444	4.674572788e-11
445	4.661689787e-11
446	4.62433785e-11
447	4.584246613e-11
448	4.551930458e-11
449	4.540926929e-11
450	4.51194499e-11
451	4.485542912e-11
452	4.45295746e-11
453	4.432472546e-11
454	4.4189643e-11
455	4.381980686e-11
456	4.34794011e-11
457	4.327010727e-11
458	4.312597433e-11
459	4.276471317e-11
460	4.238821272e-11
461	4.21513442e-11
462	4.202643382e-11
463	4.18584698e-11
464	4.169504497e-11
465	4.150289515e-11
466	4.133482201e-11
467	4.105846286e-11
468	4.092360623e-11
469	4.074145438e-11
470	4.053770679e-11
471	4.03056125e-11
472	4.009274809e-11
473	3.97905313e-11
474	3.961256932e-11
475	3.945178871e-11
476	3.922841238e-11
477	3.907776026e-11
478	3.893885078e-11
479	3.873927439e-11
480	3.86553418e-11
481	3.840686901e-11
482	3.819738265e-11
483	3.800298125e-11
484	3.786674903e-11
485	3.764800883e-11
486	3.750260914e-11
487	3.730787657e-11
488	3.712761832e-11
489	3.703045999e-11
490	3.682316321e-11
491	3.653561085e-11
492	3.629594077e-11
493	3.606597486e-11
494	3.594851787e-11
495	3.587019137e-11
496	3.578607058e-11
497	3.566854508e-11
